row,col,temperature
0,0,285.413422
0,1,287.179504
0,2,289.170013
0,3,291.279602
0,4,293.361908
0,5,295.243805
0,6,296.748199
0,7,297.721191
0,8,298.057922
0,9,297.721191
0,10,296.748199
0,11,295.243805
0,12,293.361908
0,13,291.279602
0,14,289.170013
0,15,287.179504
0,16,285.413422
1,0,286.785309
1,1,288.999023
1,2,291.493958
1,3,294.138184
1,4,296.748199
1,5,299.107025
1,6,300.992676
1,7,302.212250
1,8,302.634338
1,9,302.212250
1,10,300.992676
1,11,299.107025
1,12,296.748199
2,0,288.190674
2,1,290.862854
2,2,293.874542
2,3,297.066467
2,4,300.217041
2,5,303.064423
2,6,305.340637
2,7,306.812805
2,8,307.322296
2,9,306.812805
2,10,305.340637
2,11,303.064423
2,12,300.217041
3,4,303.502686
3,5,306.812805
3,6,309.458923
4,2,298.057922
4,3,302.212250
4,4,306.312805
4,5,310.018707
4,6,312.981232
4,7,314.897278
4,8,315.560394
5,1,295.243805
5,2,299.470093
5,3,303.949280
5,4,308.370514
5,5,312.366211
5,6,315.560394
5,7,317.626282
5,8,318.341248
5,9,317.626282
6,1,295.828644
6,2,300.217041
6,3,304.868103
6,4,309.458923
6,5,313.607910
6,6,316.924652
6,7,319.069824
6,8,319.812195
6,9,319.069824
7,0,291.934906
7,1,295.828644
7,2,300.217041
7,3,304.868103
7,4,309.458923
7,5,313.607910
7,6,316.924652
7,7,319.069824
7,8,319.812195
7,9,319.069824
7,10,316.924652
8,0,291.493958
8,1,295.243805
8,2,299.470093
8,3,303.949280
8,4,308.370514
8,5,312.366211
8,6,315.560394
8,7,317.626282
8,8,318.341248
8,9,317.626282
8,10,315.560394
9,0,290.660309
9,1,294.138184
9,2,298.057922
9,3,302.212250
9,4,306.312805
9,5,310.018707
9,6,312.981232
9,7,314.897278
9,8,315.560394
9,9,314.897278
9,10,312.981232
10,1,292.628265
10,2,296.129395
10,3,299.840057
10,4,303.502686
10,5,306.812805
10,6,309.458923
10,7,311.170349
10,8,311.762665
10,9,311.170349
11,1,290.862854
11,2,293.874542
11,3,297.066467
11,4,300.217041
11,5,303.064423
11,6,305.340637
11,7,306.812805
11,8,307.322296
11,9,306.812805
12,2,291.493958
12,3,294.138184
12,4,296.748199
12,5,299.107025
12,6,300.992676
12,7,302.212250
12,8,302.634338
13,4,293.361908
13,5,295.243805
13,6,296.748199
